city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
5864145,Homer,US,59.6425,-151.5483,11/13/21,            -6.06,83,1,1.54
3443061,Chui,UY,-33.6971,-53.4616,11/13/21,            17.63,74,31,7.09
2122090,Pevek,RU,69.7008,170.3133,11/13/21,            -12.4,86,100,0.82
1504382,Kargasok,RU,59.0556,80.8572,11/13/21,            -5.13,96,100,2.57
6067472,Marystown,CA,47.1666,-55.1483,11/13/21,            12.14,100,100,6.71
3372964,Lagoa,PT,39.05,-27.9833,11/13/21,            16.53,71,100,10.34
3836873,San Miguel de Tucumán,AR,-26.8241,-65.2226,11/13/21,            27,74,0,3.09
3663693,Jutaí,BR,-5.1833,-68.9,11/13/21,            22.04,97,78,0.66
1496073,Orlik,RU,52.5178,99.825,11/13/21,            -8.08,80,77,1.14
2630299,Hofn,IS,64.2539,-15.2082,11/13/21,            8.77,92,100,8.69
2303611,Esim,GH,4.8699,-2.2405,11/13/21,            25.57,83,10,1.55
1215502,Banda Aceh,ID,5.5577,95.3222,11/13/21,            28.29,72,100,5.34
368246,Raja,SS,8.4596,25.678,11/13/21,            25.38,59,51,1.49
4160789,Key Biscayne,US,25.6937,-80.1628,11/13/21,            25.02,84,75,0.89
4513583,Hamilton,US,39.1834,-84.5333,11/13/21,            3.65,74,90,0.89
1862505,Hirara,JP,24.8,125.2833,11/13/21,            22.15,88,75,7.72
3467452,Canoinhas,BR,-26.1772,-50.39,11/13/21,            10.14,99,31,1.62
2012593,Zeya,RU,53.75,127.2667,11/13/21,            -6.62,40,26,3.04
2071860,Esperance,AU,-33.8667,121.9,11/13/21,            17.91,48,13,4.84
2161515,Kiama,AU,-34.6833,150.8667,11/13/21,            21.32,40,64,7.56
4036284,Alofi,NU,-19.0595,-169.9187,11/13/21,            25.94,83,40,4.12
1711593,Hinundayan,PH,10.3523,125.2506,11/13/21,            28.91,75,89,2.56
2120769,Talaya,RU,61.3833,152.75,11/13/21,            -7.11,95,100,2.83
1067565,Beloha,MG,-25.1667,45.05,11/13/21,            21.11,90,5,2.65
6122707,Rivers,CA,50.0308,-100.2403,11/13/21,            -5.47,98,86,1.74
3452956,Porteirinha,BR,-15.7433,-43.0283,11/13/21,            18.66,81,100,3.9
5364022,La Palma,US,33.8464,-118.0467,11/13/21,            28.45,42,1,0
1254046,Tura,IN,25.5198,90.2201,11/13/21,            19.08,74,7,0.44
4026082,Lázaro Cárdenas,MX,17.9583,-102.2,11/13/21,            25.01,84,0,2.3
2063036,Port Lincoln,AU,-34.7333,135.8667,11/13/21,            14.43,50,95,7.63
1651810,Airai,TL,-8.9266,125.4092,11/13/21,            22.73,72,88,0.89
2171099,Codrington,AU,-38.2667,141.9667,11/13/21,            12.47,51,97,11.56
3653967,Muisne,EC,0.6,-80.0333,11/13/21,            23.62,85,100,3.17
3466704,Castro,BR,-24.7911,-50.0119,11/13/21,            9.83,97,53,3.77
986717,Kruisfontein,ZA,-34.0033,24.7314,11/13/21,            14.38,89,100,3.72
2035836,Manzhouli,CN,49.6,117.4333,11/13/21,            -2.05,51,1,4.42
4726521,San Patricio,US,28.017,-97.5169,11/13/21,            19.34,50,2,3.43
3612581,El Benque,HN,14.0333,-86.4667,11/13/21,            19.66,94,31,1.24
2412408,Nioro,GM,13.35,-15.75,11/13/21,            26.19,41,100,1.75
3992842,Petatlán,MX,17.5167,-101.2667,11/13/21,            27.89,85,0,1.75
1246294,Galle,LK,6.0367,80.217,11/13/21,            28.09,77,58,5.91
933995,Souillac,MU,-20.5167,57.5167,11/13/21,            25.2,83,40,4.63
1790959,Taicheng,CN,38.731,113.228,11/13/21,            5.4,34,0,1.97
3533462,Acapulco de Juárez,MX,16.8634,-99.8901,11/13/21,            26.9,83,1,2.57
1650213,Banjarmasin,ID,-3.3244,114.591,11/13/21,            28.08,58,71,1.02
2100633,Arawa,PG,-6.2132,155.5367,11/13/21,            29.44,77,35,1.82
2377457,Nouadhibou,MR,20.931,-17.0347,11/13/21,            19.74,79,0,5.54
3573899,Point Fortin,TT,10.1833,-61.6833,11/13/21,            25.64,83,11,5.33
6167817,Torbay,CA,47.6666,-52.7314,11/13/21,            11.43,94,90,11.32
3984997,San Quintín,MX,30.4833,-115.95,11/13/21,            19.75,50,0,1.06
6111862,Port Hardy,CA,50.6996,-127.4199,11/13/21,            7,93,90,12.35
102527,Sakakah,SA,29.9697,40.2064,11/13/21,            17.76,30,100,4.76
2428231,Massaguet,TD,12.4755,15.4365,11/13/21,            22.02,18,4,4.13
2013727,Vanavara,RU,60.34,102.2797,11/13/21,            -10.86,94,98,2.59
3448903,São João da Barra,BR,-21.6403,-41.0511,11/13/21,            19.75,67,98,3.04
2180815,Tuatapere,NZ,-46.1333,167.6833,11/13/21,            13.3,79,98,0.51
2455735,Kangaba,ML,11.9333,-8.4167,11/13/21,            22.34,33,30,1.56
4301317,Morehead,US,37.2711,-87.1764,11/13/21,            2.84,94,40,0
3674292,Mosquera,CO,4.7059,-74.2302,11/13/21,            13.05,94,75,2.06
3521941,Pánuco,MX,22.05,-98.1667,11/13/21,            22.1,82,68,0.46
3571913,Marsh Harbour,BS,26.5412,-77.0636,11/13/21,            25.73,75,100,3.28
3355624,Maltahöhe,NA,-24.8333,16.9833,11/13/21,            21.73,15,0,7.96
3355672,Lüderitz,NA,-26.6481,15.1594,11/13/21,            18.39,63,0,6.15
2439155,Tanout,NE,14.9709,8.8879,11/13/21,            24.71,15,20,4.2
1583992,Turan,VN,16.0678,108.2208,11/13/21,            22.99,83,75,0
3407194,Areia Branca,BR,-4.9561,-37.1369,11/13/21,            26.19,81,19,7.03
3440777,Rocha,UY,-34.4833,-54.3333,11/13/21,            16.13,75,70,6.73
527321,Mezen',RU,65.8522,44.24,11/13/21,            -4.93,83,100,4.16
6067747,Matagami,CA,49.7502,-77.6328,11/13/21,            -0.94,100,90,2.57
1282027,Malé,MV,4.1748,73.5089,11/13/21,            28.14,79,59,8.07
1121143,Zabul Province,AF,32.25,67.25,11/13/21,            5.1,20,0,3.75
5977046,Hornepayne,CA,49.2138,-84.7705,11/13/21,            -3.03,87,100,4.49
3833883,Trelew,AR,-43.249,-65.3051,11/13/21,            16.84,59,100,4.96
2128558,Otofuke,JP,42.9917,143.2003,11/13/21,            6.53,70,59,1.62
3688151,Cabuyaro,CO,4.2817,-72.794,11/13/21,            25.82,76,100,1.51
3421982,Maniitsoq,GL,65.4167,-52.9,11/13/21,            -10.26,57,0,4.33
3928924,Satipo,PE,-11.2522,-74.6386,11/13/21,            21.76,98,100,0.73
2374583,Bubaque,GW,11.2833,-15.8333,11/13/21,            28.62,71,100,7.75
2174444,Bowen,AU,-20.0167,148.2333,11/13/21,            30.12,51,46,5.84
3703443,Panama City,PA,8.9936,-79.5197,11/13/21,            27.25,84,20,2.57
2511174,Santa Cruz de Tenerife,ES,28.4682,-16.2546,11/13/21,            19.23,79,75,0.89
578326,Begunitsy,RU,59.5855,29.3176,11/13/21,            2.16,94,100,2.3
1242110,Kalmunai,LK,7.4167,81.8167,11/13/21,            27.18,75,97,0.83
3135601,Stryn,NO,61.9045,6.7226,11/13/21,            6.19,76,70,2.48
5919850,Chapais,CA,49.7834,-74.8492,11/13/21,            -0.12,98,100,1.93
110690,Faya,SA,18.3851,42.4509,11/13/21,            10.06,47,0,1.16
2122605,Okhotsk,RU,59.3833,143.3,11/13/21,            0.24,96,100,3.86
4402245,Ozark,US,37.0209,-93.206,11/13/21,            7.23,67,94,2.84
2023350,Kabansk,RU,52.0486,106.6528,11/13/21,            -5.73,73,100,1.03
146490,Chlórakas,CY,34.8042,32.4083,11/13/21,            20.57,36,92,2.06
2027316,Ayan,RU,56.45,138.1667,11/13/21,            -7.11,66,100,7.59
2313002,Matadi,CD,-5.8167,13.45,11/13/21,            24.86,94,100,0.8
236524,Rafai,CF,4.95,23.9167,11/13/21,            19.88,94,16,0.49
921028,Chadiza,ZM,-14.0678,32.4392,11/13/21,            19.7,77,34,0.87
3105522,Bereda,ES,43.2686,-7.5406,11/13/21,            5.32,100,65,1.17
3663684,Lábrea,BR,-7.2586,-64.7981,11/13/21,            22.95,97,100,1.18
3698304,Chimbote,PE,-9.0853,-78.5783,11/13/21,            17.03,85,42,3.5
1791464,Wenling,CN,28.3669,121.36,11/13/21,            18.28,59,4,1.52
2178753,Kirakira,SB,-10.4544,161.9205,11/13/21,            29.45,70,42,2.96
2615886,Odder,DK,55.9731,10.153,11/13/21,            9.09,92,95,6.08
522902,Nekhayevskiy,RU,50.4106,41.7561,11/13/21,            0.83,89,17,2.31
